REGIÃO ;PAÍS;CONSUMO DE PETRÓLEO em mil barris por dia;ANO
América do Norte;Canadá;2208,566905;2009
América do Norte;Estados Unidos;18771,39726;2009
América do Norte;México;2021,321154;2009
Américas Central e do Sul;Argentina;532,222891;2009
Américas Central e do Sul;Brasil;2497,932512;2009
Américas Central e do Sul;Chile;383,491738;2009
Américas Central e do Sul;Colômbia;229,999151;2009
Américas Central e do Sul;Equador;190,666616;2009
Américas Central e do Sul;Peru;182,205068;2009
Américas Central e do Sul;Trinidad e Tobago;43,523181;2009
Américas Central e do Sul;Venezuela;726,232329;2009
Américas Central e do Sul;Outros;1229,440868;2009
Europa e Eurásia;Alemanha;2408,755534;2009
Europa e Eurásia;Áustria;262,471893;2009
Europa e Eurásia;Azerbaijão;72,564107;2009
Europa e Eurásia;Bélgica;677,549904;2009
Europa e Eurásia;Bielorrússia;181,888356;2009
Europa e Eurásia;Bulgária;96,621625;2009
Europa e Eurásia;Cazaquistão;198,13571;2009
Europa e Eurásia;Chipre;57,421562;2009
Europa e Eurásia;Croácia;88,935458;2009
Europa e Eurásia;Dinamarca;169,363648;2009
Europa e Eurásia;Eslováquia;78,568493;2009
Europa e Eurásia;Eslovênia;54,755023;2009
Europa e Eurásia;Espanha;1473,700746;2009
Europa e Eurásia;Estônia;26,708316;2009
Europa e Eurásia;Finlândia ;213,152538;2009
Europa e Eurásia;França;1822,304373;2009
Europa e Eurásia;Grécia ;418,589608;2009
Europa e Eurásia;Holanda;945,243605;2009
Europa e Eurásia;Hungria;153,543041;2009
Europa e Eurásia;Islândia;15,181644;2009
Europa e Eurásia;Irlanda;166,383929;2009
Europa e Eurásia;Itália;1562,796427;2009
Europa e Eurásia;Letônia;31,638602;2009
Europa e Eurásia;Lituânia;53,638266;2009
Europa e Eurásia;Luxemburgo;57,358362;2009
Europa e Eurásia;Macedônia;19,579904;2009
Europa e Eurásia;Noruega;221,727004;2009
Europa e Eurásia;Polônia;566,623568;2009
Europa e Eurásia;Portugal;273,759371;2009
Europa e Eurásia;Reino Unido;1669,2828;2009
Europa e Eurásia;República Tcheca;204,361808;2009
Europa e Eurásia;Romênia;195,318438;2009
Europa e Eurásia;Rússia;2774,650169;2009
Europa e Eurásia;Suécia;324,842827;2009
Europa e Eurásia;Suíça;259,829181;2009
Europa e Eurásia;Turcomenistão;106,229452;2009
Europa e Eurásia;Turquia;709,163863;2009
Europa e Eurásia;Ucrânia;282,373173;2009
Europa e Eurásia;Uzbequistão;88,737288;2009
Europa e Eurásia;Outros;378,435034;2009
Oriente Médio;Arábia Saudita;2913,554646;2009
Oriente Médio;Catar;173,073879;2009
Oriente Médio;Coveite;454,974568;2009
Oriente Médio;Emirados Árabes Unidos;605,550247;2009
Oriente Médio;Irã;1919,022841;2009
Oriente Médio;Iraque;535,777186;2009
Oriente Médio;Israel;232,302067;2009
Oriente Médio;Omã;118,998082;2009
Oriente Médio;Outros;774,07538;2009
África;África do Sul;506,508642;2009
África;África Central;181,553468;2009
África;África Ocidental;512,074246;2009
África;África Oriental;404,134438;2009
África;Argélia;326,525041;2009
África;Egito;724,657831;2009
África;Marrocos;234,497441;2009
África;Outros Norte da África;386,908438;2009
África;Outros Sul da África;45,416601;2009
Ásia-Pacífico;Austrália;950,237796;2009
Ásia-Pacífico;Bangladesh;72,344947;2009
Ásia-Pacífico;China;8295,047625;2009
Ásia-Pacífico;Cingapura;1049,2466;2009
Ásia-Pacífico;Coreia do Sul;2344,553497;2009
Ásia-Pacífico;Hong Kong;331,593213;2009
Ásia-Pacífico;Filipinas;299,632877;2009
Ásia-Pacífico;Índia;3300,357942;2009
Ásia-Pacífico;Indonésia;1320,837724;2009
Ásia-Pacífico;Japão;4389,699162;2009
Ásia-Pacífico;Malásia;678,571759;2009
Ásia-Pacífico;Nova Zelândia;147,59067;2009
Ásia-Pacífico;Paquistão;414,959063;2009
Ásia-Pacífico;Sri Lanka;87,223328;2009
Ásia-Pacífico;Tailândia;1075,06159;2009
Ásia-Pacífico;Taiwan;1021,643653;2009
Ásia-Pacífico;Vietnã;305,256086;2009
Ásia-Pacífico;Outros;267,638896;2009
América do Norte;Canadá;2358,319907;2010
América do Norte;Estados Unidos;19180,12877;2010
América do Norte;México;2039,738801;2010
Américas Central e do Sul;Argentina;593,686424;2010
Américas Central e do Sul;Brasil;2713,544195;2010
Américas Central e do Sul;Chile;342,6395;2010
Américas Central e do Sul;Colômbia;256,44063;2010
Américas Central e do Sul;Equador;220,419874;2010
Américas Central e do Sul;Peru;190,803973;2010
Américas Central e do Sul;Trinidad e Tobago;45,034342;2010
Américas Central e do Sul;Venezuela;725,418466;2010
Américas Central e do Sul;Outros;1246,62313;2010
Europa e Eurásia;Alemanha;2441,109096;2010
Europa e Eurásia;Áustria;274,986349;2010
Europa e Eurásia;Azerbaijão;72,19834;2010
Europa e Eurásia;Bélgica;705,723078;2010
Europa e Eurásia;Bielorrússia;149,883644;2010
Europa e Eurásia;Bulgária;86,029869;2010
Europa e Eurásia;Cazaquistão;210,535891;2010
Europa e Eurásia;Chipre;55,785534;2010
Europa e Eurásia;Croácia;76,337937;2010
Europa e Eurásia;Dinamarca;171,263472;2010
Europa e Eurásia;Eslováquia;81,668082;2010
Europa e Eurásia;Eslovênia;55,433928;2010
Europa e Eurásia;Espanha;1446,934076;2010
Europa e Eurásia;Estônia;27,904161;2010
Europa e Eurásia;Finlândia ;223,029774;2010
Europa e Eurásia;França;1762,825222;2010
Europa e Eurásia;Grécia ;382,481977;2010
Europa e Eurásia;Holanda;964,064936;2010
Europa e Eurásia;Hungria;146,140301;2010
Europa e Eurásia;Islândia;14,553342;2010
Europa e Eurásia;Irlanda;158,435233;2010
Europa e Eurásia;Itália;1532,217375;2010
Europa e Eurásia;Letônia;36,420308;2010
Europa e Eurásia;Lituânia;55,015436;2010
Europa e Eurásia;Luxemburgo;59,93023;2010
Europa e Eurásia;Macedônia;18,947968;2010
Europa e Eurásia;Noruega;229,218021;2010
Europa e Eurásia;Polônia;594,007185;2010
Europa e Eurásia;Portugal;272,041795;2010
Europa e Eurásia;Reino Unido;1652,252794;2010
Europa e Eurásia;República Tcheca;194,650055;2010
Europa e Eurásia;Romênia;184,021479;2010
Europa e Eurásia;Rússia;2877,820781;2010
Europa e Eurásia;Suécia;327,565863;2010
Europa e Eurásia;Suíça;241,716518;2010
Europa e Eurásia;Turcomenistão;117,922055;2010
Europa e Eurásia;Turquia;693,644082;2010
Europa e Eurásia;Ucrânia;267,206405;2010
Europa e Eurásia;Uzbequistão;75,627041;2010
Europa e Eurásia;Outros;381,247318;2010
Oriente Médio;Arábia Saudita;3205,641413;2010
Oriente Médio;Catar;190,576353;2010
Oriente Médio;Coveite;469,896606;2010
Oriente Médio;Emirados Árabes Unidos;653,988438;2010
Oriente Médio;Irã;1787,99474;2010
Oriente Médio;Iraque;570,064192;2010
Oriente Médio;Israel;240,620459;2010
Oriente Médio;Omã;135,452438;2010
Oriente Médio;Outros;719,531338;2010
África;África do Sul;538,388053;2010
África;África Central;195,571878;2010
África;África Ocidental;538,992188;2010
África;África Oriental;419,370309;2010
África;Argélia;326,947945;2010
África;Egito;765,814041;2010
África;Marrocos;258,092805;2010
África;Outros Norte da África;390,761247;2010
África;Outros Sul da África;47,485117;2010
Ásia-Pacífico;Austrália;953,828583;2010
Ásia-Pacífico;Bangladesh;80,637854;2010
Ásia-Pacífico;China;9445,542192;2010
Ásia-Pacífico;Cingapura;1156,736274;2010
Ásia-Pacífico;Coreia do Sul;2377,915905;2010
