REGIÃO ;PAÍS;CAPACIDADE EFETIVA DE REFINO em mil barris por dia;ANO
América do Norte;Canadá;1976,088711;2009
América do Norte;Estados Unidos;17597;2009
América do Norte;México;1463;2009
Américas Central e do Sul;Argentina;625;2009
Américas Central e do Sul;Brasil;1991,741;2009
Américas Central e do Sul;Chile;242;2009
Américas Central e do Sul;Colombia;336;2009
Américas Central e do Sul;Curaçao;320;2009
Américas Central e do Sul;Equador;175;2009
Américas Central e do Sul;Peru;252;2009
Américas Central e do Sul;Trinidad e Tobago;165;2009
Américas Central e do Sul;Venezuela;1303;2009
Américas Central e do Sul;Outros ;900;2009
Europa e Eurásia;Alemanha;2362,268219;2009
Europa e Eurásia;Áustria;200,821918;2009
Europa e Eurásia;Azerbaijão;205;2009
Europa e Eurásia;Bélgica;786;2009
Europa e Eurásia;Bielorrússia;460;2009
Europa e Eurásia;Bulgária;180;2009
Europa e Eurásia;Cazaquistão;330;2009
Europa e Eurásia;Dinamarca;188,772603;2009
Europa e Eurásia;Eslováquia;122;2009
Europa e Eurásia;Espanha;1361,572603;2009
Europa e Eurásia;Finlândia ;261,068493;2009
Europa e Eurásia;França;1847;2009
Europa e Eurásia;Grécia;425;2009
Europa e Eurásia;Holanda;1279,58;2009
Europa e Eurásia;Hungria;165;2009
Europa e Eurásia;Irlanda;75;2009
Europa e Eurásia;Itália;2396;2009
Europa e Eurásia;Lituânia;240,986301;2009
Europa e Eurásia;Noruega;316;2009
Europa e Eurásia;Polônia;491,049753;2009
Europa e Eurásia;Portugal;306,494411;2009
Europa e Eurásia;Reino Unido;1757,191781;2009
Europa e Eurásia;República Tcheca;193,391507;2009
Europa e Eurásia;Romênia;283,098658;2009
Europa e Eurásia;Rússia;5425;2009
Europa e Eurásia;Suécia;454;2009
Europa e Eurásia;Suíça;140;2009
Europa e Eurásia;Turcomenistão;251,027397;2009
Europa e Eurásia;Turquia;613;2009
Europa e Eurásia;Ucrânia;582;2009
Europa e Eurásia;Uzbequistão;232;2009
Europa e Eurásia;Outros;430;2009
Oriente Médio;Arábia Saudita;2109;2009
Oriente Médio;Bahrein;260;2009
Oriente Médio;Catar;283;2009
Oriente Médio;Coveite;936;2009
Oriente Médio;Emirados Árabes Unidos;702;2009
Oriente Médio;Irã;1860;2009
Oriente Médio;Iraque;853;2009
Oriente Médio;Israel;275;2009
Oriente Médio;Omã;222;2009
Oriente Médio;Outros ;496;2009
África;África do Sul;520;2009
África;Argélia;554,268493;2009
África;Egito;810;2009
África;Marrocos;130,534247;2009
África;Nigéria;110;2009
África;Outros;958;2009
Ásia-Pacífico;Austrália;733,9;2009
Ásia-Pacífico;Bangladesh;39;2009
Ásia-Pacífico;China;11333,90707;2009
Ásia-Pacífico;Cingapura;1427;2009
Ásia-Pacífico;Coreia do Sul;2745,5;2009
Ásia-Pacífico;Filipinas;266,95;2009
Ásia-Pacífico;Índia;3574,442368;2009
Ásia-Pacífico;Indonésia;1099,245;2009
Ásia-Pacífico;Japão;4629,7528;2009
Ásia-Pacífico;Malásia;572;2009
Ásia-Pacífico;Nova Zelândia;135,605;2009
Ásia-Pacífico;Paquistão;276,084229;2009
Ásia-Pacífico;Tailândia;1235,5;2009
Ásia-Pacífico;Taiwan;1197;2009
Ásia-Pacífico;Vietinã;159;2009
Ásia-Pacífico;Outros ;177;2009
América do Norte;Canadá;1913,184314;2010
América do Norte;Estados Unidos;17736;2010
América do Norte;México;1463;2010
Américas Central e do Sul;Argentina;625;2010
Américas Central e do Sul;Brasil;1991,741;2010
Américas Central e do Sul;Chile;242;2010
Américas Central e do Sul;Colombia;336;2010
Américas Central e do Sul;Curaçao;320;2010
Américas Central e do Sul;Equador;175;2010
Américas Central e do Sul;Peru;252;2010
Américas Central e do Sul;Trinidad e Tobago;165;2010
Américas Central e do Sul;Venezuela;1303;2010
Américas Central e do Sul;Outros ;901;2010
Europa e Eurásia;Alemanha;2091,15863;2010
Europa e Eurásia;Áustria;200,821918;2010
Europa e Eurásia;Azerbaijão;205;2010
Europa e Eurásia;Bélgica;787;2010
Europa e Eurásia;Bielorrússia;460;2010
Europa e Eurásia;Bulgária;195;2010
Europa e Eurásia;Cazaquistão;330;2010
Europa e Eurásia;Dinamarca;188,772603;2010
Europa e Eurásia;Eslováquia;122;2010
Europa e Eurásia;Espanha;1421,417534;2010
Europa e Eurásia;Finlândia ;261,068493;2010
Europa e Eurásia;França;1702,20674;2010
Europa e Eurásia;Grécia;490;2010
Europa e Eurásia;Holanda;1273,929;2010
Europa e Eurásia;Hungria;165;2010
Europa e Eurásia;Irlanda;75;2010
Europa e Eurásia;Itália;2396;2010
Europa e Eurásia;Lituânia;240,986301;2010
Europa e Eurásia;Noruega;316;2010
Europa e Eurásia;Polônia;560,47389;2010
Europa e Eurásia;Portugal;306,494411;2010
Europa e Eurásia;Reino Unido;1757,191781;2010
Europa e Eurásia;República Tcheca;193,391507;2010
Europa e Eurásia;Romênia;246,790055;2010
Europa e Eurásia;Rússia;5563;2010
Europa e Eurásia;Suécia;454;2010
Europa e Eurásia;Suíça;140;2010
Europa e Eurásia;Turcomenistão;251,027397;2010
Europa e Eurásia;Turquia;613;2010
Europa e Eurásia;Ucrânia;484;2010
Europa e Eurásia;Uzbequistão;232;2010
Europa e Eurásia;Outros;434;2010
Oriente Médio;Arábia Saudita;2109;2010
Oriente Médio;Bahrein;260;2010
Oriente Médio;Catar;283;2010
Oriente Médio;Coveite;936;2010
Oriente Médio;Emirados Árabes Unidos;702;2010
Oriente Médio;Irã;1860;2010
Oriente Médio;Iraque;914;2010
Oriente Médio;Israel;280;2010
Oriente Médio;Omã;222;2010
Oriente Médio;Outros ;496;2010
África;África do Sul;520;2010
África;Argélia;554,268493;2010
África;Egito;810;2010
África;Marrocos;130,534247;2010
África;Nigéria;211;2010
África;Outros;959;2010
Ásia-Pacífico;Austrália;739,6;2010
Ásia-Pacífico;Bangladesh;39;2010
Ásia-Pacífico;China;12322,53329;2010
Ásia-Pacífico;Cingapura;1427;2010
Ásia-Pacífico;Coreia do Sul;2774;2010
Ásia-Pacífico;Filipinas;264,1;2010
Ásia-Pacífico;Índia;3703,308387;2010
Ásia-Pacífico;Indonésia;1099,245;2010
Ásia-Pacífico;Japão;4290,6028;2010
Ásia-Pacífico;Malásia;582;2010
Ásia-Pacífico;Nova Zelândia;135,605;2010
Ásia-Pacífico;Paquistão;278,705317;2010
Ásia-Pacífico;Tailândia;1229,5;2010
Ásia-Pacífico;Taiwan;1197;2010
Ásia-Pacífico;Vietinã;159;2010
Ásia-Pacífico;Outros ;177;2010
América do Norte;Canadá;2004,535605;2011
América do Norte;Estados Unidos;17367;2011
América do Norte;México;1605,5;2011
Américas Central e do Sul;Argentina;625;2011
Américas Central e do Sul;Brasil;2013,795;2011
Américas Central e do Sul;Chile;250;2011
Américas Central e do Sul;Colombia;336;2011
Américas Central e do Sul;Curaçao;320;2011
Américas Central e do Sul;Equador;175;2011
Américas Central e do Sul;Peru;252;2011
Américas Central e do Sul;Trinidad e Tobago;165;2011
Américas Central e do Sul;Venezuela;1303;2011
Américas Central e do Sul;Outros ;1013;2011
Europa e Eurásia;Alemanha;2077,482658;2011
Europa e Eurásia;Áustria;192,789041;2011
Europa e Eurásia;Azerbaijão;205;2011
Europa e Eurásia;Bélgica;788;2011
Europa e Eurásia;Bielorrússia;460;2011
Europa e Eurásia;Bulgária;195;2011
