REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
América do Norte;Canadá;86,56615;2009
América do Norte;Estados Unidos;617,6281135;2009
América do Norte;México;65,16880111;2009
Américas Central e do Sul;Argentina;41,83555827;2009
Américas Central e do Sul;Brasil;20,6686138;2009
Américas Central e do Sul;Chile;2,7949216;2009
Américas Central e do Sul;Colômbia;8,379319708;2009
Américas Central e do Sul;Equador;0,58786893;2009
Américas Central e do Sul;Peru;3,343665976;2009
Américas Central e do Sul;Trinidad e Tobago;16,10059387;2009
Américas Central e do Sul;Venezuela;34,21684922;2009
Europa e Eurásia;Outros;4,92416924;2009
Europa e Eurásia;Alemanha;84,43012165;2009
Europa e Eurásia;Áustria;8,831913874;2009
Europa e Eurásia;Azerbaijão;8,5681464;2009
Europa e Eurásia;Bielorrússia;16,93198132;2009
Europa e Eurásia;Bélgica;17,57406582;2009
Europa e Eurásia;Bulgaria;2,426375;2009
Europa e Eurásia;Cazaquistão;10,1397206;2009
Europa e Eurásia;Croácia;2,794988889;2009
Europa e Eurásia;Dinamarca;4,582792284;2009
Europa e Eurásia;Eslováquia;5,14675;2009
Europa e Eurásia;Eslovênia;0,966511793;2009
Europa e Eurásia;Estônia;0,609555556;2009
Europa e Eurásia;Espanha;36,30772177;2009
Europa e Eurásia;Finlândia ;3,738;2009
Europa e Eurásia;França;44,731075;2009
Europa e Eurásia;Grécia ;3,403144283;2009
Europa e Eurásia;Holanda;41,35833333;2009
Europa e Eurásia;Hungria;10,64363889;2009
Europa e Eurásia;Irlanda;4,955543;2009
Europa e Eurásia;Itália;74,31755848;2009
Europa e Eurásia;Letônia;1,445169617;2009
Europa e Eurásia;Lituânia;2,5372008;2009
Europa e Eurásia;Luxemburgo;1,2937938;2009
Europa e Eurásia;Macedônia;0,074840213;2009
Europa e Eurásia;Noruega;4,103108;2009
Europa e Eurásia;Polônia;15,09477778;2009
Europa e Eurásia;Portugal;4,76935615;2009
Europa e Eurásia;República Tcheca;7,91335;2009
Europa e Eurásia;Reino Unido;91,2237024;2009
Europa e Eurásia;Romênia;12,30495;2009
Europa e Eurásia;Rússia;397,7893215;2009
Europa e Eurásia;Suécia;1,143225;2009
Europa e Eurásia;Suíça;2,82025;2009
Europa e Eurásia;Turquia;33,7221925;2009
Europa e Eurásia;Turcomenistão;17,11325;2009
Europa e Eurásia;Ucrânia;48,90862832;2009
Europa e Eurásia;Uzbequistão;44,072875;2009
Europa e Eurásia;Outros;8,286485854;2009
Oriente Médio;Arábia Saudita;74,5275;2009
Oriente Médio;Catar;21,27110432;2009
Oriente Médio;Coveite;11,846113;2009
Oriente Médio;Emirados Árabes Unidos;57,58807275;2009
Oriente Médio;Irã;134,794412;2009
Oriente Médio;Iraque;6,85273;2009
Oriente Médio;Israel;4,00235;2009
Oriente Médio;Omã;13,71760945;2009
Oriente Médio;Outros;22,67332833;2009
África;África do Sul;3,323995371;2009
África;África Central;3,256473575;2009
África;África Ocidental;8,786713574;2009
África;África Oriental;0,726969795;2009
África;Argélia;26,2117625;2009
África;Egito;40,94475;2009
África;Marrocos;0,645779852;2009
África;Outros Norte da África;11,6799171;2009
Ásia-Pacífico;Austrália;29,1364343;2009
Ásia-Pacífico;Bangladesh;18,74673831;2009
Ásia-Pacífico;China;90,22402998;2009
Ásia-Pacífico;Cingapura;9,180641335;2009
Ásia-Pacífico;Coreia do Sul;35,4915036;2009
Ásia-Pacífico;Filipinas;3,742460376;2009
Ásia-Pacífico;Hong Kong;2,892262403;2009
Ásia-Pacífico;Índia;49,10808478;2009
Ásia-Pacífico;Indonésia;42,10080502;2009
Ásia-Pacífico;Japão;92,47802538;2009
Ásia-Pacífico;Malásia;40,022319;2009
Ásia-Pacífico;Nova Zelândia;3,999799305;2009
Ásia-Pacífico;Paquistão;34,70166906;2009
Ásia-Pacífico;Tailândia;38,12444324;2009
Ásia-Pacífico;Taiwan;12,46677581;2009
Ásia-Pacífico;Vietnã;7,72965;2009
Ásia-Pacífico;Outros;5,48211547;2009
América do Norte;Canadá;88,2809;2010
América do Norte;Estados Unidos;648,1934509;2010
América do Norte;México;66,04454003;2010
Américas Central e do Sul;Argentina;42,08741656;2010
Américas Central e do Sul;Brasil;27,57677926;2010
Américas Central e do Sul;Chile;5,7397539;2010
Américas Central e do Sul;Colômbia;8,74513777;2010
Américas Central e do Sul;Equador;0,618902244;2010
Américas Central e do Sul;Peru;4,8577341;2010
Américas Central e do Sul;Trinidad e Tobago;17,70809872;2010
Américas Central e do Sul;Venezuela;31,26681662;2010
Europa e Eurásia;Outros;5,075598286;2010
Europa e Eurásia;Alemanha;88,07125;2010
Europa e Eurásia;Áustria;9,612812106;2010
Europa e Eurásia;Azerbaijão;8,14487505;2010
Europa e Eurásia;Bielorrússia;20,72836283;2010
Europa e Eurásia;Bélgica;19,404;2010
Europa e Eurásia;Bulgaria;2,672275;2010
Europa e Eurásia;Cazaquistão;11,02429848;2010
Europa e Eurásia;Croácia;3,061416667;2010
Europa e Eurásia;Dinamarca;5,183978527;2010
Europa e Eurásia;Eslováquia;5,822475;2010
Europa e Eurásia;Eslovênia;1,002804413;2010
Europa e Eurásia;Estônia;0,65425;2010
Europa e Eurásia;Espanha;36,19646815;2010
Europa e Eurásia;Finlândia ;4,13;2010
Europa e Eurásia;França;49,56445;2010
Europa e Eurásia;Grécia ;3,729560929;2010
Europa e Eurásia;Holanda;46,75833333;2010
Europa e Eurásia;Hungria;11,41541667;2010
Europa e Eurásia;Irlanda;5,467263;2010
Europa e Eurásia;Itália;79,14990072;2010
Europa e Eurásia;Letônia;1,723414454;2010
Europa e Eurásia;Lituânia;2,898196;2010
Europa e Eurásia;Luxemburgo;1,391630375;2010
Europa e Eurásia;Macedônia;0,110853671;2010
Europa e Eurásia;Noruega;4,081410085;2010
Europa e Eurásia;Polônia;16,23263889;2010
Europa e Eurásia;Portugal;5,188759508;2010
Europa e Eurásia;República Tcheca;9,384875;2010
Europa e Eurásia;Reino Unido;98,49284298;2010
Europa e Eurásia;Romênia;12,5469;2010
Europa e Eurásia;Rússia;423,9202249;2010
Europa e Eurásia;Suécia;1,54625;2010
Europa e Eurásia;Suíça;3,15025;2010
Europa e Eurásia;Turquia;35,8210325;2010
Europa e Eurásia;Turcomenistão;18,27188577;2010
Europa e Eurásia;Ucrânia;54,56059489;2010
Europa e Eurásia;Uzbequistão;44,044;2010
Europa e Eurásia;Outros;8,704361323;2010
Oriente Médio;Arábia Saudita;83,277;2010
Oriente Médio;Catar;25,42461828;2010
Oriente Médio;Coveite;13,97553795;2010
Oriente Médio;Emirados Árabes Unidos;59,27164425;2010
Oriente Médio;Irã;144,3893986;2010
Oriente Médio;Iraque;7,13526;2010
Oriente Médio;Israel;5,11305;2010
Oriente Médio;Omã;16,29945695;2010
Oriente Médio;Outros;25,21345583;2010
África;África do Sul;4,122056082;2010
África;África Central;3,656390631;2010
África;África Ocidental;8,566177971;2010
África;África Oriental;0,843804187;2010
África;Argélia;25,327225;2010
África;Egito;43,418375;2010
África;Marrocos;0,69751451;2010
África;Outros Norte da África;12,28522169;2010
Ásia-Pacífico;Austrália;33,78362544;2010
Ásia-Pacífico;Bangladesh;19,25372713;2010
Ásia-Pacífico;China;108,8740549;2010
Ásia-Pacífico;Cingapura;8,336057303;2010
Ásia-Pacífico;Coreia do Sul;45,0164736;2010
Ásia-Pacífico;Filipinas;3,524956811;2010
Ásia-Pacífico;Hong Kong;3,594312848;2010
Ásia-Pacífico;Índia;58,96162209;2010
Ásia-Pacífico;Indonésia;44,04758702;2010
Ásia-Pacífico;Japão;99,93671805;2010
Ásia-Pacífico;Malásia;38,023122;2010
Ásia-Pacífico;Nova Zelândia;4,366691701;2010
Ásia-Pacífico;Paquistão;35,34839533;2010
Ásia-Pacífico;Tailândia;43,20556292;2010
Ásia-Pacífico;Taiwan;15,47976843;2010
Ásia-Pacífico;Vietnã;9,07293;2010
Ásia-Pacífico;Outros;6,798414757;2010
América do Norte;Canadá;97,5312;2011
América do Norte;Estados Unidos;658,2108105;2011
América do Norte;México;70,80849083;2011
Américas Central e do Sul;Argentina;43,83978869;2011
Américas Central e do Sul;Brasil;27,48342496;2011
Américas Central e do Sul;Chile;5,8365155;2011
Américas Central e do Sul;Colômbia;8,514971457;2011
Américas Central e do Sul;Equador;0,560756349;2011
Américas Central e do Sul;Peru;5,351050553;2011
Américas Central e do Sul;Trinidad e Tobago;17,96714182;2011
Américas Central e do Sul;Venezuela;33,32639197;2011
Europa e Eurásia;Outros;5,789464486;2011
Europa e Eurásia;Alemanha;80,86072222;2011
Europa e Eurásia;Áustria;9,041806703;2011
Europa e Eurásia;Azerbaijão;8,9201289;2011
Europa e Eurásia;Bielorrússia;19,22618486;2011
Europa e Eurásia;Bélgica;16,524;2011
Europa e Eurásia;Bulgaria;3,05945;2011
Europa e Eurásia;Cazaquistão;12,16170339;2011
Europa e Eurásia;Croácia;2,989166667;2011
Europa e Eurásia;Dinamarca;4,347364559;2011
Europa e Eurásia;Eslováquia;5,3929;2011
Europa e Eurásia;Eslovênia;0,858058934;2011
Europa e Eurásia;Estônia;0,589833333;2011
Europa e Eurásia;Espanha;33,64608333;2011
Europa e Eurásia;Finlândia ;3,612;2011
Europa e Eurásia;França;43,01903508;2011
Europa e Eurásia;Grécia ;4,598988132;2011
Europa e Eurásia;Holanda;40,92777778;2011
Europa e Eurásia;Hungria;10,91352778;2011
Europa e Eurásia;Irlanda;4,809005;2011
Europa e Eurásia;Itália;74,21607103;2011
Europa e Eurásia;Letônia;1,518043265;2011
Europa e Eurásia;Lituânia;3,1619644;2011
Europa e Eurásia;Luxemburgo;1,200527575;2011
Europa e Eurásia;Macedônia;0,128252151;2011
Europa e Eurásia;Noruega;4,019747636;2011
Europa e Eurásia;Polônia;16,45252778;2011
Europa e Eurásia;Portugal;5,253681687;2011
Europa e Eurásia;República Tcheca;7,91905;2011
Europa e Eurásia;Reino Unido;81,91850749;2011
Europa e Eurásia;Romênia;12,915175;2011
Europa e Eurásia;Rússia;435,6361394;2011
Europa e Eurásia;Suécia;1,253675;2011
Europa e Eurásia;Suíça;2,79425;2011
